index,caption-jp,caption-en
73,大きなオブジェクトが2つ浮いているEvolution Gym環境,Evolution Gym environment with two large floating objects.
74,地面の他に、柔らかいブロックからなる大きな長方形のオブジェクトと、固いブロックからなる大きなオブジェクトがあるEvolution Gym環境,"In addition to the ground, there's a large rectangular object made of soft blocks and a large object made of solid blocks in the Evolution Gym environment."
75,階段状のブロックが少し高い位置にある大きなエージェントのためのEvolution Gym環境,"Evolution Gym environment for a larger agent, with stair-like blocks at a slightly higher position."
76,大きめの穴があるシンプルなEvolution Gym環境,A simple Evolution Gym environment with a larger hole.
77,柔らかい地面が半分と、普通の固い地面が半分の平坦なEvolution Gym環境,A flat Evolution Gym environment with half of it being soft ground and the other half normal solid ground.
78,山なりな形状のEvolution Gym環境,Evolution Gym environment with a gently sloping shape.
79,谷のような形状のEvolution Gym環境,Evolution Gym environment with a valley-like shape.
80,僅かに壁のように障害物がある、単純なEvolution Gym環境,A simple Evolution Gym environment with obstacles resembling walls.
81,穴があり、段差の低く、幅の大きな階段状のブロックがあるEvolution Gym環境,"An Evolution Gym environment with holes, low steps, and wide stair-like blocks."
82,柔らかいブロックが3つあり、内一つが穴の開いた正方形をしているEvolution Gym環境,"Evolution Gym environment with three soft blocks, one of which has a hole and is square-shaped."
83,シンプルで簡単な、少し段差のあるEvolution Gym環境,A simple and easy Evolution Gym environment with slight steps.
84,2段の大きめな階段のあるEvolution Gym環境,Evolution Gym environment with two larger steps.
85,ランダムな階段状のEvolution Gym環境,Evolution Gym environment with a random staircase shape.
86,シンプルな地面がいくつかあり、穴のあるEvolution Gym環境,A few simple ground areas with holes in the Evolution Gym environment.
87,少し高い位置から始まるシンプルなEvolution Gym環境,A simple Evolution Gym environment starting from a slightly higher position.
88,少し段差があり、障害物があるEvolution Gym環境,Evolution Gym environment with slight steps and obstacles.
89,穴の多い簡単なEvolution Gym環境,A simple Evolution Gym environment with multiple holes.
90,棒状の障害物が4つあるEvolution Gym環境,Evolution Gym environment with four rod-shaped obstacles.
91,棒状のオブジェクトの上に、柔らかいブロックが橋のように繋がっているEvolution Gym環境,Evolution Gym environment where soft blocks form a bridge-like structure on top of rod-shaped objects.
92,山のような形状と、穴のある簡単なEvolution Gym環境,A simple Evolution Gym environment with a mountain-like shape and holes.
93,柔らかいブロックからなる難易度の低いEvolution Gym環境,Low-difficulty Evolution Gym environment made of soft blocks.
94,少し複雑な形状で、難易度も少し高そうなEvolution Gym環境,Slightly complex shape and somewhat higher difficulty in the Evolution Gym environment.
95,洞窟のような形状かつ地面が少し盛り上がっている、あまり難しくはないEvolution Gym環境,"An Evolution Gym environment resembling a cave with slightly raised ground, not too difficult."
96,段差が大きく、地面に隙間のあるEvolution Gym環境,Evolution Gym environment with large steps and gaps in the ground.
97,簡単な難易度の単純なEvolution Gym環境,Simple Evolution Gym environment with easy difficulty.
98,高い壁のあるEvolution Gym環境,Evolution Gym environment with tall walls.
99,少し難しい穴と階段形状があるEvolution Gym環境,Evolution Gym environment with slightly difficult holes and staircase shapes.
100,下り階段があるのみで、難易度の易しいEvolution Gym環境,A simple Evolution Gym environment with only descending stairs and easy difficulty.
101,単純な階段を上る、障害物や穴の無い、難易度の低いEvolution Gym環境,A simple Evolution Gym environment involving ascending a simple staircase with no obstacles or holes.
102,柔らかいブロックからなる橋のような形状の、簡単なEvolution Gym環境,An easy Evolution Gym environment with a bridge-like shape made of soft blocks.
103,橋のような形状のEvolution Gym環境,Evolution Gym environment with a bridge-like shape.
